catch_id,sample_row_id,station_code,start_date,start_time,common_name,fork_length,dead,lifestage,mark_code,weight,count,run,count_reference
983904,34686,Gate 6,8/1/2023,8:29,Green Sturgeon,41,No,not provided,n/a,0,1,n/p,0
983905,34686,Gate 6,8/1/2023,8:29,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
983906,34686,Gate 6,8/1/2023,8:29,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983907,34686,Gate 6,8/1/2023,8:29,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
983908,34686,Gate 6,8/1/2023,8:29,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983909,34686,Gate 6,8/1/2023,8:29,Sturgeon,27,No,not provided,n/a,0,1,n/p,0
983910,34686,Gate 6,8/1/2023,8:29,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
983911,34686,Gate 6,8/1/2023,8:29,Sturgeon,25,No,not provided,n/a,0,1,n/p,0
983912,34686,Gate 6,8/1/2023,8:29,Sturgeon,27,No,not provided,n/a,0,1,n/p,0
983913,34686,Gate 6,8/1/2023,8:29,Sturgeon,24,No,not provided,n/a,0,1,n/p,0
983914,34686,Gate 6,8/1/2023,8:29,Sturgeon,38,No,not provided,n/a,0,1,n/p,0
983915,34686,Gate 6,8/1/2023,8:29,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
983916,34686,Gate 6,8/1/2023,8:29,Rainbow Trout,61,No,RBT - parr,n/a,0,1,n/p,0
983917,34686,Gate 6,8/1/2023,8:29,Rainbow Trout,86,No,RBT - silvery parr,n/a,0,1,n/p,0
983918,34686,Gate 6,8/1/2023,8:29,Rainbow Trout,67,No,RBT - parr,n/a,0,1,n/p,0
983919,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,63,Yes,not provided,n/a,0,1,L,0
983920,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,87,Yes,not provided,n/a,0,2,F,0
983921,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,88,Yes,not provided,n/a,0,2,F,0
983922,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,89,Yes,not provided,n/a,0,1,F,0
983923,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,90,Yes,not provided,n/a,0,2,F,0
983924,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,91,Yes,not provided,n/a,0,1,F,0
983925,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,92,Yes,not provided,n/a,0,1,F,0
983926,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,94,Yes,not provided,n/a,0,1,F,0
983927,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,98,Yes,not provided,n/a,0,1,F,0
983928,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,100,Yes,not provided,n/a,0,2,F,0
983929,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,102,Yes,not provided,n/a,0,1,F,0
983930,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,103,Yes,not provided,n/a,0,2,F,0
983931,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,105,Yes,not provided,n/a,0,1,F,0
983932,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,62,No,not provided,n/a,0,1,L,0
983933,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,73,No,not provided,n/a,0,1,L,0
983934,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,75,No,not provided,n/a,0,1,F,0
983935,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,76,No,not provided,n/a,0,2,F,0
983936,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,78,No,not provided,n/a,0,1,F,0
983937,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,80,No,not provided,n/a,0,3,F,0
983938,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,82,No,not provided,n/a,0,1,F,0
983939,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,83,No,not provided,n/a,0,4,F,0
983940,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,84,No,not provided,n/a,0,2,F,0
983941,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,85,No,not provided,n/a,0,1,F,0
983942,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,86,No,not provided,n/a,0,1,F,0
983943,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,87,No,not provided,n/a,0,1,F,0
983944,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,88,No,not provided,n/a,0,1,F,0
983945,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,89,No,not provided,n/a,0,1,F,0
983946,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,90,No,not provided,n/a,0,1,F,0
983947,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,91,No,not provided,n/a,0,1,F,0
983948,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,92,No,not provided,n/a,0,4,F,0
983949,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,93,No,not provided,n/a,0,6,F,0
983950,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,94,No,not provided,n/a,0,4,F,0
983951,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,95,No,not provided,n/a,0,2,F,0
983952,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,96,No,not provided,n/a,0,4,F,0
983953,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,97,No,not provided,n/a,0,6,F,0
983954,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,98,No,not provided,n/a,0,7,F,0
983955,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,99,No,not provided,n/a,0,1,F,0
983956,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,100,No,not provided,n/a,0,4,F,0
983957,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,101,No,not provided,n/a,0,1,F,0
983958,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,102,No,not provided,n/a,0,1,F,0
983959,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,103,No,not provided,n/a,0,5,F,0
983960,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,104,No,not provided,n/a,0,2,F,0
983961,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,105,No,not provided,n/a,0,2,F,0
983962,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,107,No,not provided,n/a,0,1,F,0
983963,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,110,No,not provided,n/a,0,1,F,0
983964,34686,Gate 6,8/1/2023,8:29,Chinook Salmon,115,No,not provided,n/a,0,1,F,0
983965,34687,Gate 7,8/1/2023,10:58,Sacramento Squawfish,48,No,not provided,n/a,0,1,n/p,0
983966,34687,Gate 7,8/1/2023,10:58,Sacramento Sucker,30,Yes,not provided,n/a,0,1,n/p,0
983967,34687,Gate 7,8/1/2023,10:58,Sacramento Sucker,24,No,not provided,n/a,0,1,n/p,0
983968,34687,Gate 7,8/1/2023,10:58,Sacramento Sucker,25,Yes,not provided,n/a,0,1,n/p,0
983969,34687,Gate 7,8/1/2023,10:58,Sturgeon,26,No,not provided,n/a,0,1,n/p,0
