mark_row_id,mark_sample_row_id,source,fish_origin,fork_length,count,dead
{00000001-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,34,5,
{00000002-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,35,10,
{00000003-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,36,11,
{00000004-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,37,13,
{00000005-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,38,7,
{00000006-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,39,1,
{00000007-0000-0000-0000-000000000000},{00000005-0000-0000-0000-000000000000},RBDD,WILD,40,1,
{00000008-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,34,3,
{00000009-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,35,10,
{0000000A-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,36,12,
{0000000B-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,37,9,
{0000000C-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,38,5,
{0000000D-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,39,2,
{0000000E-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,40,1,
{0000000F-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,41,2,
{00000010-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,44,1,
{00000011-0000-0000-0000-000000000000},{00000007-0000-0000-0000-000000000000},RBDD,WILD,47,1,
{00000012-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,62,1,
{00000013-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,63,1,
{00000014-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,65,2,
{00000015-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,67,1,
{00000016-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,69,1,
{00000017-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,70,2,
{00000018-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,71,2,
{00000019-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,72,6,
{0000001A-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,73,2,
{0000001B-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,74,2,
{0000001C-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,75,4,
{0000001D-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,76,1,
{0000001E-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,77,4,
{0000001F-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,78,5,
{00000020-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,79,5,
{00000021-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,80,10,
{00000022-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,81,5,
{00000023-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,82,8,
{00000024-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,83,4,
{00000025-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,84,9,
{00000026-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,85,2,
{00000027-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,86,1,
{00000028-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,87,3,
{00000029-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,88,6,
{0000002A-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,89,3,
{0000002B-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,90,2,
{0000002C-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,91,5,
{0000002D-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,92,9,
{0000002E-0000-0000-0000-000000000000},{0000000B-0000-0000-0000-000000000000},RBDD,WILD,93,2,
